turn,evaluation_node_recall,evaluation_node_recall_std,evaluation_edge_pair_recall,evaluation_edge_pair_recall_std,evaluation_node_tsc_rank,evaluation_node_tsc_rank_std,evaluation_node_tsc_raw,evaluation_node_tsc_raw_std,evaluation_edge_tsc_rank,evaluation_edge_tsc_rank_std,evaluation_edge_tsc_raw,evaluation_edge_tsc_raw_std,evaluation_node_autc_rank,evaluation_node_autc_rank_std
70,0.5865874363327674,0.023108077400367057,0.41354782228058656,0.026397667931056617,0.6691938642200944,0.027470187558622326,0.7487096443463673,0.020086613945061563,0.4199149599182066,0.02690547167752969,0.4154737064179261,0.027042017890089743,0.7337413045348818,0.025736319865753896
71,0.5899830220713073,0.02028489498361378,0.41803458087108775,0.020976080090344306,0.6734987651614552,0.02324093884675898,0.7525969539545825,0.01801549747191764,0.4244648138827436,0.021347407071700075,0.4192270721181957,0.022840006579183718,0.7381765997672632,0.02264541313177845
72,0.5950764006791172,0.018905821265976265,0.4231779382797111,0.024618077964960836,0.6804224520407649,0.026994651850459944,0.7580875942075668,0.020814630196807637,0.4295540024969526,0.02515033133727628,0.42311253384169456,0.027038930508779903,0.7451178542448301,0.02736937109204728
73,0.5950764006791172,0.018905821265976265,0.42339680455241846,0.02491256825964589,0.6804224520407649,0.026994651850459944,0.7580875942075668,0.020814630196807637,0.42978617787340073,0.025466073559765774,0.42332870120810423,0.02740597219360975,0.7451178542448301,0.02736937109204728
74,0.5962082625919638,0.019549208205337704,0.426023199824907,0.028169415728467363,0.6811435562757525,0.027711164523894927,0.7586026363334183,0.021324052728088454,0.43241834665696344,0.028724017635142637,0.42656031395465577,0.03204801352093052,0.745521195629978,0.027774219482920495
75,0.6055461233729486,0.012771119520539631,0.4328080542788356,0.02240468086362085,0.6925681580514315,0.014711790882738062,0.7679153259788483,0.010246186898598648,0.4392843077017607,0.023144436387475008,0.43318993793031363,0.028834980717661475,0.7566958979057063,0.013865318238915172
76,0.6137521222410866,0.0055665861836180245,0.437951411687459,0.019176732588982573,0.700952568572789,0.01166796930692128,0.7744982099176213,0.007763123826309391,0.44418776618901695,0.01976489163716615,0.4362977610130352,0.02749499423883817,0.7642465410610595,0.01176650031407984
77,0.6140350877192983,0.005962452604896857,0.43806084482381263,0.019155175687198073,0.7010360102815962,0.01162354379449572,0.7745964508913192,0.0076971710665965105,0.44425557727070086,0.01975282818387111,0.4363099850626001,0.027484080930393222,0.7642968620525991,0.011726325802625946
78,0.6168647425014148,0.0029812263024484283,0.4427664696870212,0.017877503048073656,0.7033425069839206,0.010346369046434298,0.7761575216454157,0.007190164288279646,0.448782844498353,0.017849966452051575,0.43954171841000944,0.026777869193751573,0.7661946967565654,0.011074002619961575
79,0.6185625353706847,0.0009802211701012416,0.44506456555044865,0.01633048954431156,0.7053730041878828,0.009398793678131578,0.7777918608510276,0.006741300577995247,0.45110220732447054,0.016272000021734272,0.44159162661055223,0.026049825832984083,0.7682060594837528,0.010510826318965483
80,0.6196943972835314,0.001697792869269965,0.4461588969139856,0.01822283530712793,0.7063982509827831,0.011078598744772732,0.7784363685910225,0.007749534753454913,0.45226420336934975,0.01828038079509474,0.44311676073705925,0.028606974808003244,0.7688630342339137,0.011541042526627382
81,0.6219581211092247,0.00482702945931862,0.4503173560954257,0.022972358707287144,0.7085435422535954,0.013264878560636715,0.7804110628088211,0.009763514031811945,0.4565036423148056,0.0230650424999813,0.44764884555017626,0.032961403807084816,0.7711111441378268,0.013558019469896711
82,0.6284663271080928,0.009076975060750109,0.4563361785948785,0.029284969768350218,0.7141842511427542,0.016746604686762485,0.7848194587019628,0.012572228516423041,0.462483175678926,0.02929312265837479,0.4518645007325387,0.037082291574194945,0.7759601745855782,0.016418295830294482
83,0.6327108092812677,0.013801639386821923,0.4614795360035019,0.03265602874694824,0.7175172289847837,0.020990992509142877,0.7872207801488392,0.015506232194323415,0.4677858191309037,0.03282574941624117,0.45592452098698233,0.03985927435939904,0.7783242791179192,0.019435024404672263
84,0.6366723259762309,0.01267672709937868,0.4692492886846137,0.03438430242364369,0.7212679091087711,0.019552218422031472,0.7899324532602993,0.014179184881241874,0.47587777197508774,0.03457089637970189,0.46255572893098373,0.041569949676563335,0.7812227908803567,0.017848582846062444
85,0.6400679117147708,0.014128452442354219,0.4750492449113592,0.038301441390419785,0.7239010134464562,0.020033017921011257,0.7919515053346421,0.014466670330852513,0.48185542311113444,0.038853121340584884,0.4686045099145187,0.0474682910568204,0.7834075812094476,0.01800429784088884
86,0.6417657045840407,0.014481088377955894,0.47789450645655507,0.04056900531463528,0.7260867912268673,0.021013922863554562,0.7934605259646504,0.01520693421400638,0.48469946973056643,0.041216798076112296,0.47093437360057466,0.04952883409986835,0.7853425008820584,0.019091149731938723
87,0.644029428409734,0.01353805740113828,0.481068067410812,0.03860043505378654,0.7278467200496084,0.019622011464245834,0.7950210672141925,0.013853660550468444,0.4880363548791459,0.03913010423906476,0.47392146004201224,0.04663273860827257,0.7870096499231318,0.017335183512382692
88,0.6451612903225806,0.015490906274104125,0.481068067410812,0.03860043505378654,0.7285226472647389,0.020754151122418844,0.795549424321109,0.01473499308027774,0.4880363548791459,0.03913010423906476,0.47392146004201224,0.04663273860827257,0.787427366229411,0.01802321700504004
89,0.646576117713639,0.014314249994274723,0.48260013131976365,0.037436210643893096,0.7291854904249381,0.020329683950858192,0.7961388701632971,0.014325276885416224,0.48954330737181095,0.03795141991256568,0.47560550998795575,0.04571316416422854,0.7878428157823762,0.017768307189839766
90,0.6477079796264855,0.013341454707556622,0.48741518931932587,0.034691685056402057,0.7298285840682599,0.01966815632915594,0.7966626185352401,0.013834463857149195,0.49449153236460514,0.03515104529086855,0.4805458758504658,0.04438544075470503,0.7882485387635226,0.017288980455993953
91,0.6516694963214488,0.015683538721619733,0.49244911359159554,0.035310123860141186,0.734130522582089,0.021655163172606705,0.7998722497286199,0.015080068937680515,0.4994517629202479,0.03580142088464694,0.48546397843126077,0.04399183313806813,0.7920513792007805,0.018843942680878724
92,0.6542161856253538,0.014008934685327197,0.4955132414094988,0.03350316514235976,0.7373415471574003,0.020127004243796973,0.8021024471710657,0.014071557940917183,0.502477673468427,0.03397467541539099,0.48780043429317793,0.04336582610873171,0.7948832099760409,0.017649128415206987
93,0.6550650820599887,0.013431176328586134,0.4966075727730357,0.033823337726401226,0.7381172094327619,0.01953194263985361,0.8026240479025998,0.01369503580393701,0.5036388047058129,0.03431618268373846,0.48902036110475905,0.043475699276092294,0.7954423435441645,0.01719554657284854
94,0.6559139784946236,0.01372309638141727,0.5012037644998906,0.03230428372677007,0.7390390181330166,0.01994017171557125,0.8031877549604087,0.013943607637607422,0.5081614426698239,0.03267309647236677,0.4931028169814004,0.0418249811063345,0.7961690920965873,0.017535016369762173
95,0.6570458404074703,0.014505948633815869,0.5022980958634274,0.03182811553018085,0.7403550765639373,0.020858490603120772,0.804091515571049,0.014565851743946609,0.5093105174733321,0.03214434901876423,0.49400704859977046,0.04148971562314995,0.7972842042263327,0.018276154177767172
96,0.6587436332767402,0.012242958490539869,0.5043773254541475,0.02929294289031304,0.7414425343370015,0.01931251077437559,0.8049053786044552,0.013399529384305962,0.5114651090364534,0.029559158969716434,0.49601678193851123,0.03894270062001535,0.797971930494234,0.017275994521255476
97,0.6627051499717035,0.010545922554377023,0.5078791858174655,0.027688313611589944,0.7460486154107432,0.01607989325723913,0.8085132060672062,0.01057236102088967,0.5150334573670748,0.028092511682430932,0.49966715854726423,0.037565063846914916,0.8023880894764591,0.013659390579975807
98,0.6661007357102434,0.012369831915333557,0.5134602757715037,0.028185990849482975,0.7492626024135861,0.019009507980306203,0.8115872795422149,0.013814246331493071,0.5207543624196567,0.028629129461986366,0.5066723326737695,0.03651875509066072,0.805617308730573,0.017301691046922935
99,0.6669496321448783,0.01219380952258924,0.5141168745896257,0.02758301222757055,0.7499538355042967,0.018737566019124425,0.8123323457913454,0.013488548860458917,0.5214039345892155,0.02801562618899322,0.507119065716461,0.036162834510047356,0.8063923766457701,0.01690164993975498
100,0.668081494057725,0.011793246171010036,0.5157583716349311,0.027602542791674227,0.7509961162575037,0.018612520896960527,0.8130438698645929,0.013351234226264908,0.523014969207256,0.028007323887066587,0.5091742820994584,0.03614813498419465,0.8071516949086524,0.01676698554846197
