"turn","mode","anchor","batch_htsn_combined","batch_new_nodes","batch_new_edges","raw_batch_reward","effective_fewa_reward","evaluation_node_precision","evaluation_node_recall","evaluation_edge_pair_precision","evaluation_edge_pair_recall","evaluation_node_tsc_rank","evaluation_edge_tsc_rank"
39,"explore",,0.21250274182934853,4,11,0.01950708762886598,,0.8628912071535022,0.49151103565365023,0.9989384288747346,0.30892974392646094,0.5687897891047813,0.31140898811723944
40,"exploit","SYSTEMIC THERAPY",0.0,6,0,0.0,0.0,0.8641063515509602,0.4966044142614601,0.9989384288747346,0.30892974392646094,0.5756959482878624,0.31140898811723944
41,"exploit","PROCTOSCOPY",0.2306664258623803,20,45,0.05090880102040815,0.05090880102040815,0.8680057388809183,0.5135823429541596,0.9989868287740629,0.3237032173342088,0.5976408708351947,0.3258219206723275
42,"exploit","BRCA MUTATION",0.10059515035377359,3,13,0.020826339721679688,0.020826339721679688,0.8685714285714285,0.5161290322580645,0.999,0.3279711096520026,0.6003781538744084,0.33009676585398134
43,"exploit","EARLY-STAGE PROSTATE CANCER",0.0,5,0,0.0,0.0,0.8695035460992908,0.5203735144312394,0.999,0.3279711096520026,0.6037930922114793,0.33009676585398134
44,"exploit","HYSTERECTOMY",0.377440820333806,17,43,0.06560983009708737,0.06560983009708737,0.8725761772853186,0.534804753820034,0.9990412272291467,0.34208798424162834,0.6234613892007641,0.3438946676682151
45,"exploit","SERIOUS BLOOD CLOTS",0.0,0,0,0.0,0.0,0.8725761772853186,0.534804753820034,0.9990412272291467,0.34208798424162834,0.6234613892007641,0.3438946676682151
46,"explore",,0.07306711979609176,5,3,0.004709404205607477,,0.8734525447042641,0.5390492359932089,0.9990439770554493,0.34307288246881157,0.6275665731527016,0.34483873222477185
47,"exploit","DIAGNOSIS",0.06754346438361308,19,12,0.013060162058550186,0.013060162058550186,0.8632707774798928,0.5466893039049237,0.999054820415879,0.3470124753775443,0.6341024288943304,0.3483152583480118
48,"exploit","B12 AND FOLIC ACID",0.15864938080495355,7,16,0.029436896829044115,0.029436896829044115,0.8645418326693227,0.5526315789473685,0.9990689013035382,0.35226526592252133,0.6425860807379972,0.35348624757688535
49,"explore",,0.10558180130505257,8,21,0.027014093693284936,,0.8646517739816032,0.5585738539898133,0.9990867579908675,0.35915955351280365,0.6490849061354809,0.36032010900237094
50,"exploit","FEVER",0.09485198964736329,9,16,0.024454028580960848,0.024454028580960848,0.8649350649350649,0.565365025466893,0.9990999099909991,0.36441234405778067,0.6551134461623205,0.36542898470481083
51,"explore",,0.02854636591478697,1,1,0.0019514117324561403,,0.8651102464332037,0.566213921901528,0.9991007194244604,0.36474064346684176,0.655363771288742,0.36578350490605255
52,"exploit","ADRENAL TUMORS",0.2644954145716814,13,26,0.04804311241243432,0.04804311241243432,0.8673469387755102,0.5772495755517827,0.9991212653778558,0.3732764281024294,0.6626009817484813,0.37443193593668833
53,"exploit","TRANSANAL LOCAL EXCISION",0.3000645057248831,16,42,0.0621227297008547,0.0621227297008547,0.87,0.5908319185059423,0.9991525423728813,0.3870650032829941,0.6775975305204069,0.3879194227318413
54,"exploit","HIV",0.050189843379212146,1,4,0.007548081914451827,0.007548081914451827,0.8701622971285893,0.5916808149405772,0.9991554054054054,0.38837820091923836,0.6778478556468286,0.38930850705026665
55,"exploit","HEPATITIS",0.09914727773545098,7,13,0.021882114031456956,0.021882114031456956,0.8712871287128713,0.597623089983022,0.9991645781119465,0.3926460932370322,0.6827106804399771,0.3935201704138774
56,"exploit","ABDOMINOPERINEAL RESECTION",0.07869663016721841,5,8,0.01183523539624183,0.01183523539624183,0.8720787207872078,0.6018675721561969,0.9991701244813278,0.3952724885095207,0.6855649793666895,0.3961065044002931
57,"exploit","SOFT TISSUE SARCOMA",0.06291000841042893,7,5,0.007126524390243902,0.007126524390243902,0.8719512195121951,0.6069609507640068,0.9991735537190083,0.396913985554826,0.6901634075026413,0.39755922837602253
58,"exploit","BRONCHOSCOPY",0.20795349642280178,3,19,0.022744913671243944,0.022744913671243944,0.8724179829890644,0.6095076400679117,0.9991863303498779,0.40315167432698623,0.6913017202816649,0.4033437222148799
59,"exploit","FISH",0.0,1,0,0.0,0.0,0.8725728155339806,0.6103565365025467,0.9991863303498779,0.40315167432698623,0.6925963011129813,0.4033437222148799
60,"exploit","URINE TESTS FOR TUMOR MARKERS",0.15440833558331904,7,26,0.03950682023713827,0.03950682023713827,0.8736462093862816,0.6162988115449916,0.999203187250996,0.41168745896257386,0.6988588729148186,0.41184747603898275
61,"exploit","TRANSABDOMINAL SURGERY",0.08727400451066662,4,9,0.014659305445151035,0.014659305445151035,0.874251497005988,0.6196943972835314,0.9992088607594937,0.41464215364412343,0.7017813076747582,0.4146163352775228
62,"exploit","NEUROSURGEON",0.10610496638473217,14,8,0.012019703223270442,0.012019703223270442,0.8633686690223793,0.6222410865874364,0.9992138364779874,0.41726854891661197,0.7040060907510023,0.41725532077897426
